id,prompt,intent,task_type,reasoning_chain_detected,d1,d2,d3,d4,d5,complexity_score,tier,complexity,original_complexity,research_signals,confidence,low_confidence_flag,task_description,expected_answer,prompting_techniques,prompt_type,phrasing_style,domain,source,augmentation_group,intent_d1_mismatch_flag,boundary_t12_flag,boundary_t23_flag,original_row_flag
v4_boundary_t2_001,"We have an internal context packet about cloud waste triage: AWS, idle databases, owner tags, budget alerts. Analyze the situation using only the provided packet. Return a concise recommendation, assumptions, risks, and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_t2,,,V4_BOUNDARY_T2,,,aug_v4,boundary_t2,False,False,True,False
v4_boundary_t3_001,"We have an internal context packet about cloud waste triage: AWS, idle databases, owner tags, budget alerts. Analyze the situation, compare it with current external vendor guidance or market benchmarks, include regulatory implications where relevant, and produce a cross-functional rollout recommendation.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.75,0.5,0.725,T3,high,,"[""finops"", ""cloud_infrastructure""]",,False,boundary_t3,,,V4_BOUNDARY_T3,,,aug_v4,boundary_t3,False,False,True,False
v4_boundary_t2_002,"We have an internal context packet about vendor exception review: SOC 2 gaps, compensating controls, renewal timing. Analyze the situation using only the provided packet. Return a concise recommendation, assumptions, risks, and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_t2,,,V4_BOUNDARY_T2,,,aug_v4,boundary_t2,False,False,True,False
v4_boundary_t3_002,"We have an internal context packet about vendor exception review: SOC 2 gaps, compensating controls, renewal timing. Analyze the situation, compare it with current external vendor guidance or market benchmarks, include regulatory implications where relevant, and produce a cross-functional rollout recommendation.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.75,0.5,0.725,T3,high,,"[""security"", ""vendor_analysis""]",,False,boundary_t3,,,V4_BOUNDARY_T3,,,aug_v4,boundary_t3,False,False,True,False
v4_boundary_t2_003,"We have an internal context packet about pipeline quality incident: late events, dbt failures, dashboard freshness. Analyze the situation using only the provided packet. Return a concise recommendation, assumptions, risks, and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_t2,,,V4_BOUNDARY_T2,,,aug_v4,boundary_t2,False,False,True,False
v4_boundary_t3_003,"We have an internal context packet about pipeline quality incident: late events, dbt failures, dashboard freshness. Analyze the situation, compare it with current external vendor guidance or market benchmarks, include regulatory implications where relevant, and produce a cross-functional rollout recommendation.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.75,0.5,0.725,T3,high,,"[""data_engineering""]",,False,boundary_t3,,,V4_BOUNDARY_T3,,,aug_v4,boundary_t3,False,False,True,False
v4_boundary_t2_004,"We have an internal context packet about HR model governance: candidate scoring, bias checks, appeal process. Analyze the situation using only the provided packet. Return a concise recommendation, assumptions, risks, and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_t2,,,V4_BOUNDARY_T2,,,aug_v4,boundary_t2,False,False,True,False
v4_boundary_t3_004,"We have an internal context packet about HR model governance: candidate scoring, bias checks, appeal process. Analyze the situation, compare it with current external vendor guidance or market benchmarks, include regulatory implications where relevant, and produce a cross-functional rollout recommendation.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.75,0.5,0.725,T3,high,,"[""hr_tech"", ""ai_governance""]",,False,boundary_t3,,,V4_BOUNDARY_T3,,,aug_v4,boundary_t3,False,False,True,False
v4_boundary_t2_005,"We have an internal context packet about release reliability: rollback failures, SRE escalation, change windows. Analyze the situation using only the provided packet. Return a concise recommendation, assumptions, risks, and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_t2,,,V4_BOUNDARY_T2,,,aug_v4,boundary_t2,False,False,True,False
v4_boundary_t3_005,"We have an internal context packet about release reliability: rollback failures, SRE escalation, change windows. Analyze the situation, compare it with current external vendor guidance or market benchmarks, include regulatory implications where relevant, and produce a cross-functional rollout recommendation.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.75,0.5,0.725,T3,high,,"[""devops""]",,False,boundary_t3,,,V4_BOUNDARY_T3,,,aug_v4,boundary_t3,False,False,True,False
v4_boundary_t2_006,"We have an internal context packet about market launch decision: competitor pricing, channel risk, customer segment evidence. Analyze the situation using only the provided packet. Return a concise recommendation, assumptions, risks, and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_t2,,,V4_BOUNDARY_T2,,,aug_v4,boundary_t2,False,False,True,False
v4_boundary_t3_006,"We have an internal context packet about market launch decision: competitor pricing, channel risk, customer segment evidence. Analyze the situation, compare it with current external vendor guidance or market benchmarks, include regulatory implications where relevant, and produce a cross-functional rollout recommendation.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.75,0.5,0.725,T3,high,,"[""market_research"", ""competitive_analysis""]",,False,boundary_t3,,,V4_BOUNDARY_T3,,,aug_v4,boundary_t3,False,False,True,False
v4_boundary_t2_007,"We have an internal context packet about audit workflow backlog: SOX evidence, control owners, stale exceptions. Analyze the situation using only the provided packet. Return a concise recommendation, assumptions, risks, and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_t2,,,V4_BOUNDARY_T2,,,aug_v4,boundary_t2,False,False,True,False
v4_boundary_t3_007,"We have an internal context packet about audit workflow backlog: SOX evidence, control owners, stale exceptions. Analyze the situation, compare it with current external vendor guidance or market benchmarks, include regulatory implications where relevant, and produce a cross-functional rollout recommendation.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.75,0.5,0.725,T3,high,,"[""regulatory_compliance""]",,False,boundary_t3,,,V4_BOUNDARY_T3,,,aug_v4,boundary_t3,False,False,True,False
v4_boundary_t2_008,"We have an internal context packet about customer GenAI controls: retention settings, prompt logging, hallucination review. Analyze the situation using only the provided packet. Return a concise recommendation, assumptions, risks, and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_t2,,,V4_BOUNDARY_T2,,,aug_v4,boundary_t2,False,False,True,False
v4_boundary_t3_008,"We have an internal context packet about customer GenAI controls: retention settings, prompt logging, hallucination review. Analyze the situation, compare it with current external vendor guidance or market benchmarks, include regulatory implications where relevant, and produce a cross-functional rollout recommendation.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.75,0.5,0.725,T3,high,,"[""ai_governance"", ""security""]",,False,boundary_t3,,,V4_BOUNDARY_T3,,,aug_v4,boundary_t3,False,False,True,False
v4_boundary_t2_009,"We have an internal context packet about supply delay planning: supplier concentration, inventory policy, logistics options. Analyze the situation using only the provided packet. Return a concise recommendation, assumptions, risks, and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_t2,,,V4_BOUNDARY_T2,,,aug_v4,boundary_t2,False,False,True,False
v4_boundary_t3_009,"We have an internal context packet about supply delay planning: supplier concentration, inventory policy, logistics options. Analyze the situation, compare it with current external vendor guidance or market benchmarks, include regulatory implications where relevant, and produce a cross-functional rollout recommendation.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.75,0.5,0.725,T3,high,,"[""supply_chain""]",,False,boundary_t3,,,V4_BOUNDARY_T3,,,aug_v4,boundary_t3,False,False,True,False
v4_boundary_t2_010,"We have an internal context packet about API migration readiness: MuleSoft mappings, SAP updates, retry handling. Analyze the situation using only the provided packet. Return a concise recommendation, assumptions, risks, and next steps.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.25,0.5,0.65,T2,medium,,"[""external_research""]",,False,boundary_t2,,,V4_BOUNDARY_T2,,,aug_v4,boundary_t2,False,False,True,False
